date,origin,destination,vessel_class,rate_value,rate_unit,cargo_type,source_name,data_type,notes,mvp_core,is_east_coast_india,source_type_normalized,route,dataset_role
2020-12-15,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,8.5,$/mt,thermal coal,The Shipping Tribune,estimate,"Estimated rate for 75,000 mt (+/- 10%) thermal coal cargo",No,Yes,estimate,"Banjarmasin (South Kalimantan), Indonesia -> Krishnapatnam, India",route_freight_assessment
2020-12-15,"Hay Point, Australia","Paradip, India",Panamax,13.8,$/mt,coking coal,The Shipping Tribune,reported fixture,"Reported fixture heard fixed in high $13s/mt (~$13.80/mt) for 75,000 mt (+/- 10%) coal, Jan 1-10 laycan",Yes,Yes,reported fixture,"Hay Point, Australia -> Paradip, India",route_freight_assessment
2020-12-15,"Hay Point, Australia","Paradip, India",Panamax,14.3,$/mt,metallurgical coal,The Shipping Tribune / Platts,estimate,"Estimated rate for 75,000 mt (+/- 10%) metallurgical coal cargo",Yes,Yes,estimate,"Hay Point, Australia -> Paradip, India",route_freight_assessment
2021-08-05,"Hay Point, Australia","Paradip, India",Panamax,20.7,$/mt,metallurgical coal,The Shipping Tribune / Platts,estimate,"Calculated from Aug 6 estimate of $20.85/mt (+$0.15/mt from Aug 5); 75,000 mt (+/- 10%) cargo",Yes,Yes,estimate,"Hay Point, Australia -> Paradip, India",route_freight_assessment
2021-08-05,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,10.8,$/mt,thermal coal,The Shipping Tribune / Platts,estimate,"Calculated from Aug 6 estimate ($11.15/mt, +$0.35/mt from Aug 5); 75,000 mt (+/- 10%) cargo",No,Yes,estimate,"Banjarmasin (South Kalimantan), Indonesia -> Krishnapatnam, India",route_freight_assessment
2021-08-05,"East Kalimantan, Indonesia","Paradip, India",Supramax,15.9,$/mt,coal,The Shipping Tribune / Platts,estimate,"Estimated rate for 55,000 mt coal cargo from East Kalimantan to Paradip",Yes,Yes,estimate,"East Kalimantan, Indonesia -> Paradip, India",route_freight_assessment
2021-08-05,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,11.95,$/mt,thermal coal,The Shipping Tribune / Platts,estimate,"Calculated from Aug 6 estimate ($12.30/mt, +$0.35/mt from Aug 5); 75,000 mt (+/- 10%) cargo",No,No,estimate,"Banjarmasin (South Kalimantan), Indonesia -> Dahej, India",route_freight_assessment
2021-08-05,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,18.5,$/mt,coal,The Shipping Tribune / Platts,estimate,"Calculated from Aug 6 estimate ($18.45/mt, -$0.05/mt from Aug 5); 55,000 mt cargo",No,No,estimate,"East Kalimantan, Indonesia -> Navlakhi, India",route_freight_assessment
2021-08-05,"Richards Bay, South Africa","Paradip, India",Panamax,18.45,$/mt,thermal coal,The Shipping Tribune / Platts,estimate,"Calculated from Aug 6 estimate ($18.60/mt, +$0.15/mt from Aug 5); 75,000 mt (+/- 10%) cargo",No,Yes,estimate,"Richards Bay, South Africa -> Paradip, India",route_freight_assessment
2021-08-06,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,18.45,$/mt,coal,The Shipping Tribune / Platts,estimate,"Estimated rate for 55,000 mt coal cargo from East Kalimantan to Navlakhi",No,No,estimate,"East Kalimantan, Indonesia -> Navlakhi, India",route_freight_assessment
2021-08-06,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,12.3,$/mt,thermal coal,The Shipping Tribune / Platts,estimate,"Estimated rate for 75,000 mt (+/- 10%) thermal coal cargo from Banjarmasin to Dahej",No,No,estimate,"Banjarmasin (South Kalimantan), Indonesia -> Dahej, India",route_freight_assessment
2021-08-06,"East Kalimantan, Indonesia","Paradip, India",Supramax,15.9,$/mt,coal,The Shipping Tribune / Platts,estimate,"Estimated rate for 55,000 mt coal cargo from East Kalimantan to Paradip (unchanged day-on-day)",Yes,Yes,estimate,"East Kalimantan, Indonesia -> Paradip, India",route_freight_assessment
2021-08-06,"Richards Bay, South Africa","Paradip, India",Panamax,18.6,$/mt,thermal coal,The Shipping Tribune / Platts,estimate,"Estimated rate for 75,000 mt (+/- 10%) thermal coal cargo from RBCT to Paradip",No,Yes,estimate,"Richards Bay, South Africa -> Paradip, India",route_freight_assessment
2021-08-06,"Hay Point, Australia","Visakhapatnam, India",Panamax,23.3,$/mt,metallurgical coal,The Shipping Tribune,reported fixture,"Charterer reported fixed 75,000 mt (+/- 10%) metallurgical coal, Sept 5-14 laycan",No,Yes,reported fixture,"Hay Point, Australia -> Visakhapatnam, India",route_freight_assessment
2021-08-06,"Hay Point, Australia","Paradip, India",Panamax,20.85,$/mt,metallurgical coal,The Shipping Tribune / Platts,estimate,"Estimated rate for 75,000 mt (+/- 10%) metallurgical coal cargo",Yes,Yes,estimate,"Hay Point, Australia -> Paradip, India",route_freight_assessment
2021-08-06,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,11.15,$/mt,thermal coal,The Shipping Tribune / Platts,estimate,"Estimated rate for 75,000 mt (+/- 10%) thermal coal cargo from Banjarmasin to Krishnapatnam",No,Yes,estimate,"Banjarmasin (South Kalimantan), Indonesia -> Krishnapatnam, India",route_freight_assessment
2021-08-11,"Hay Point, Australia","Paradip, India",Panamax,21.0,$/mt,metallurgical coal,The Shipping Tribune / Platts,estimate,"Calculated from Aug 12 estimate of $21.10/mt (+$0.10/mt from Aug 11); 75,000 mt (+/- 10%) cargo",Yes,Yes,estimate,"Hay Point, Australia -> Paradip, India",route_freight_assessment
2021-08-11,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,11.6,$/mt,thermal coal,The Shipping Tribune / Platts,estimate,"Calculated from Aug 12 estimate ($11.80/mt, +$0.20/mt from Aug 11); 75,000 mt (+/- 10%) cargo",No,Yes,estimate,"Banjarmasin (South Kalimantan), Indonesia -> Krishnapatnam, India",route_freight_assessment
2021-08-11,"East Kalimantan, Indonesia","Paradip, India",Supramax,16.0,$/mt,coal,The Shipping Tribune / Platts,estimate,"Calculated from Aug 12 assessment ($16.05/mt, +$0.05/mt from Aug 11); 55,000 mt cargo",Yes,Yes,estimate,"East Kalimantan, Indonesia -> Paradip, India",route_freight_assessment
2021-08-11,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,12.85,$/mt,thermal coal,The Shipping Tribune / Platts,estimate,"Calculated from Aug 12 estimate ($13.10/mt, +$0.25/mt from Aug 11); 75,000 mt (+/- 10%) cargo",No,No,estimate,"Banjarmasin (South Kalimantan), Indonesia -> Dahej, India",route_freight_assessment
2021-08-11,"Richards Bay, South Africa","Paradip, India",Panamax,18.65,$/mt,thermal coal,The Shipping Tribune / Platts,estimate,"Calculated from Aug 12 estimate ($18.60/mt, -$0.05/mt from Aug 11); 75,000 mt (+/- 10%) cargo",No,Yes,estimate,"Richards Bay, South Africa -> Paradip, India",route_freight_assessment
2021-08-12,"Hay Point, Australia","Paradip, India",Panamax,21.1,$/mt,metallurgical coal,The Shipping Tribune / Platts,estimate,"Estimated rate for 75,000 mt (+/- 10%) metallurgical coal cargo",Yes,Yes,estimate,"Hay Point, Australia -> Paradip, India",route_freight_assessment
2021-08-12,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,11.8,$/mt,thermal coal,The Shipping Tribune / Platts,estimate,"Estimated rate for 75,000 mt (+/- 10%) thermal coal cargo from Banjarmasin to Krishnapatnam",No,Yes,estimate,"Banjarmasin (South Kalimantan), Indonesia -> Krishnapatnam, India",route_freight_assessment
2021-08-12,"East Kalimantan, Indonesia","Paradip, India",Supramax,16.05,$/mt,coal,The Shipping Tribune / Platts,estimate,"Estimated rate for 55,000 mt coal cargo from East Kalimantan to Paradip",Yes,Yes,estimate,"East Kalimantan, Indonesia -> Paradip, India",route_freight_assessment
2021-08-12,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,13.1,$/mt,thermal coal,The Shipping Tribune / Platts,estimate,"Estimated rate for 75,000 mt (+/- 10%)",No,No,estimate,"Banjarmasin (South Kalimantan), Indonesia -> Dahej, India",route_freight_assessment
2021-08-12,"Richards Bay, South Africa","Paradip, India",Panamax,18.6,$/mt,thermal coal,The Shipping Tribune / Platts,estimate,"Estimated rate for 75,000 mt (+/- 10%) thermal coal cargo from RBCT to Paradip",No,Yes,estimate,"Richards Bay, South Africa -> Paradip, India",route_freight_assessment
2022-01-31,Indonesia,"Paradip, India",Supramax,15.35,$/mt,thermal coal,S&P Global Commodity Insights,formal assessment,Calculated from Feb 9 assessment of $21.30/mt (up $5.95/mt since Jan 31),Yes,Yes,formal assessment,"Indonesia -> Paradip, India",route_freight_assessment
2022-02-09,Indonesia,"Paradip, India",Supramax,21.3,$/mt,thermal coal,S&P Global Commodity Insights,formal assessment,Assessed at $21.30/mt following Indonesia export ban lifting and vessel squeeze,Yes,Yes,formal assessment,"Indonesia -> Paradip, India",route_freight_assessment
2022-04-28,Indonesia,West Coast India,Panamax,20.0,$/mt,coal,ISM Report,reported fixture,"Shipment of 65,000 t coal from Indonesia to WCI with mid-May laycans concluded at $20/t",No,No,reported fixture,Indonesia -> West Coast India,route_freight_assessment
2022-04-28,"Hay Point, Australia","Visakhapatnam, India",Panamax,27.85,$/mt,coal,ISM Report,reported fixture,"Panamax lot signed slightly below $28/t ($20.5-21k/day bss DOP Qingdao via Hay Point redel Vizag), late Apr-1H May laycan, 35k shinc / 20k sshex",No,Yes,reported fixture,"Hay Point, Australia -> Visakhapatnam, India",route_freight_assessment
2022-04-28,Indonesia,East Coast India,Panamax,14.6,$/mt,coal,ISM Report,reported fixture,Panamax lot of coal from Indonesia to ECI with prompt laycans signed at $14.6/t,No,Yes,reported fixture,Indonesia -> East Coast India,route_freight_assessment
2022-06-17,Mozambique (Beira / Maputo),East Coast India,Handysize,43.75,$/mt,coking coal,ISM Report,reported fixture,"Transportation of 38,000 t coking coal signed at $43.75/t, June 28-July 3 laycan (equivalent to $26k/day bss dely India)",No,Yes,reported fixture,Mozambique (Beira / Maputo) -> East Coast India,route_freight_assessment
2022-08-04,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",Supramax,26.5,$/mt,steam coal,KSI-BHP Charter Party Fixture Note,reported fixture,"Signed fixture note for 50,000 MT (+/- 10%) steam coal, laycan 07 Sept 2022, 8,000 load / 10,000 disch SHINC",No,No,reported fixture,"Adang Bay (East Kalimantan), Indonesia -> Kandla, India",route_freight_assessment
2024-04-01,"East Kalimantan, Indonesia","Paradip, India",Supramax,15.0,$/mt,thermal coal,OfBusiness / Coal Market Intel,formal assessment,Coal shipment freight from East Kalimantan to Paradip rose to $15/t (+$1.2/t w-o-w),Yes,Yes,formal assessment,"East Kalimantan, Indonesia -> Paradip, India",route_freight_assessment
2024-07-04,East Coast Australia,East Coast India,Panamax,16.15,$/mt,coal,Argus Media,formal assessment,"Argus Dry Freight 75,000 mt coal assessment for EC Australia to EC India (-0.05/t day-on-day)",No,Yes,formal assessment,East Coast Australia -> East Coast India,route_freight_assessment
2024-07-04,Atlantic / Black Sea ports (Taman / Ust-Luga proxy),"Visakhapatnam, India",Panamax,19.5,$/mt,coal,ISM Report (Week 27/2024),formal assessment,"Spot freight assessment for 75,000 t coal parcel ex Atlantic/Black Sea to Vizag",No,Yes,formal assessment,"Atlantic / Black Sea ports (Taman / Ust-Luga proxy) -> Visakhapatnam, India",route_freight_assessment
2024-10-25,"Richards Bay, South Africa","Gangavaram, India",Capesize,14.0,$/mt,coal,Banchero Costa / Bancosta Weekly (Week 43/2024),reported fixture,"NSU-controlled MV Spring fixture from Richards Bay to Gangavaram, January laycan at $14.00/mt",No,Yes,reported fixture,"Richards Bay, South Africa -> Gangavaram, India",route_freight_assessment
2025-02-21,"Queensland, Australia","Haldia, India",Panamax,20.3,$/mt,coking coal,Coal Trends Global,formal assessment,Queensland to Haldia delivery terms assessment (+2.3/t week-on-week),No,Yes,formal assessment,"Queensland, Australia -> Haldia, India",route_freight_assessment
2025-02-21,"Richards Bay, South Africa","Haldia, India",Panamax,12.8,$/mt,coking / thermal coal,Coal Trends Global,formal assessment,Delivery terms assessment from Richards Bay to Haldia (+$0.3/t week-on-week),No,Yes,formal assessment,"Richards Bay, South Africa -> Haldia, India",route_freight_assessment
2026-04-20,"Richards Bay, South Africa","Kandla, India",Capesize,17.45,$/mt,coal,Argus Media,formal assessment,"Argus Dry Freight assessment for 150,000 mt Capesize parcel to West Coast India (+0.30/t day-on-day; TCE $27,008/day)",No,No,formal assessment,"Richards Bay, South Africa -> Kandla, India",route_freight_assessment
2026-04-20,East Coast Australia,East Coast India,Panamax,17.7,$/mt,coal,Argus Media,formal assessment,"Argus Dry Freight benchmark assessment for 75,000 mt coal cargo (+0.20/t day-on-day)",No,Yes,formal assessment,East Coast Australia -> East Coast India,route_freight_assessment
2026-04-20,Indonesia,East Coast India,Panamax,11.2,$/mt,coal,Argus Media,formal assessment,"Argus Dry Freight benchmark assessment for 75,000 mt coal cargo (+0.05/t day-on-day)",No,Yes,formal assessment,Indonesia -> East Coast India,route_freight_assessment
2026-04-20,Indonesia,West Coast India,Panamax,12.85,$/mt,coal,Argus Media,formal assessment,"Argus Dry Freight assessment for 75,000 mt coal cargo to West Coast India (+0.05/t day-on-day)",No,No,formal assessment,Indonesia -> West Coast India,route_freight_assessment
2026-04-20,"Richards Bay, South Africa","Krishnapatnam, India",Capesize,19.55,$/mt,coal,Argus Media,formal assessment,"Argus Dry Freight assessment for 150,000 mt Capesize parcel (+0.25/t day-on-day; TCE $27,068/day)",No,Yes,formal assessment,"Richards Bay, South Africa -> Krishnapatnam, India",route_freight_assessment
2026-04-20,US East Coast (Hampton Roads / Baltimore),East Coast India (Paradip / Visakhapatnam),Panamax,44.35,$/mt,coal / coking coal,Argus Media,formal assessment,"Argus Dry Freight benchmark assessment for 75,000 mt coal cargo from USEC to East Coast India (-$1.10/t day-on-day)",No,Yes,formal assessment,US East Coast (Hampton Roads / Baltimore) -> East Coast India (Paradip / Visakhapatnam),route_freight_assessment
